"child.iq","mother.highschool","mother.iq","mother.work","mother.age"
65,1,121.12,4,27
98,1,89.36,4,25
85,1,115.44,4,27
83,1,99.45,3,25
115,1,92.75,4,27
98,0,107.9,1,18
69,1,138.89,4,20
106,1,125.15,3,23
102,1,81.62,1,24
95,1,95.07,1,19
91,1,88.58,1,23
58,1,94.86,4,24
84,1,88.96,4,27
78,1,114.11,4,26
102,0,100.53,2,24
110,1,120.42,1,26
102,1,114.43,3,23
99,1,111.59,3,26
105,1,133.85,4,20
101,0,97.26,3,17
102,1,110.1,4,21
115,1,126.72,2,26
100,1,97.91,2,20
87,1,99.93,4,23
99,0,97.6,4,19
96,1,121.75,4,27
72,1,98.75,3,21
78,1,97.92,4,22
77,1,80.36,2,24
98,1,114.31,2,22
69,1,109.14,1,27
130,1,101.82,2,23
109,1,117.97,3,27
106,0,108.63,2,22
92,1,96.53,3,27
100,1,92.87,4,22
107,1,95.9,4,27
86,1,107.02,4,25
90,1,87.2,1,22
110,1,89.36,4,25
107,1,102.53,2,21
113,1,130.17,3,24
65,1,83.41,3,22
102,1,125.75,1,24
103,0,85.81,4,27
111,1,126.52,4,28
42,1,79.2,4,21
100,1,113.17,1,23
67,1,110.33,1,26
92,1,99.41,4,28
100,1,102.43,2,24
110,1,124.9,3,27
56,1,94.86,4,24
107,1,92.37,3,29
97,1,101.82,1,23
56,0,79.83,1,21
95,1,96.23,2,21
78,0,82.36,4,21
76,0,76.58,1,24
86,1,110.01,1,23
79,1,111.59,4,26
81,1,113.66,4,17
79,0,101.16,4,24
79,1,101.34,4,25
56,1,101.7,2,22
52,1,98.82,2,25
63,1,93.5,2,20
80,1,87.29,4,24
87,1,87.32,4,23
88,1,86.21,2,25
92,1,89.84,4,23
100,0,121.87,1,20
94,0,127.54,4,20
117,1,109.99,4,24
102,1,90.45,4,24
107,1,88.89,4,26
99,1,113.05,4,22
73,0,78.01,4,25
56,1,95.39,1,20
78,0,83.62,2,21
94,0,86.25,2,19
110,1,95.39,4,20
109,1,111.25,4,24
86,1,127.01,1,24
92,1,89.95,2,28
91,1,99.27,2,24
123,1,81.17,1,25
102,1,110.52,3,20
105,1,136.49,4,23
114,1,123.86,1,24
96,1,134.6,1,23
66,1,91.1,3,23
104,1,103.27,2,19
108,1,126.29,3,22
84,1,127.54,4,20
83,0,92.47,4,28
83,1,84.79,4,23
92,0,100.53,2,24
109,0,108,4,22
95,0,78.81,1,26
93,1,121.12,4,27
114,1,103.06,2,24
106,1,100.44,2,22
87,1,88.55,2,24
65,1,85.31,4,22
95,1,119.45,3,24
61,1,90.55,2,21
73,1,96.33,4,19
112,1,127.64,4,24
113,1,119.86,4,27
49,0,112.02,1,28
105,1,92.51,4,25
122,1,96.02,4,22
96,1,91.42,4,26
97,1,103.08,2,23
94,1,100.24,3,26
117,1,89.82,4,24
136,1,115.06,4,23
85,0,96.65,4,20
116,1,105.58,4,24
106,1,97.72,4,26
